,prices,hometypes,bathrooms,bedrooms,sizes,garage,school_rating,city,ages
0,1399000.0,House,2.0,3.0,1347.0,1.0,2.3, San Francisco,69.0
1,2825000.0,Condo,2.0,2.0,1491.0,0.0,3.3, San Francisco,127.0
2,1140000.0,Condo,1.0,1.0,876.0,1.0,3.3, San Francisco,127.0
3,798000.0,Condo,1.0,1.0,649.0,1.0,0.0, San Francisco,89.0
4,869900.0,Condo,1.0,1.0,800.0,0.0,7.3, San Francisco,17.0
5,550000.0,Condo,1.0,0.0,460.0,0.0,0.0, San Francisco,17.0
6,790000.0,Condo,1.0,0.0,710.0,0.0,0.0, San Francisco,81.0
7,1795000.0,Condo,1.0,0.0,1484.0,1.0,3.3, San Francisco,119.0
8,198436.0,Condo,1.0,0.0,255.0,0.0,3.3, San Francisco,119.0
9,1199000.0,House,1.0,0.0,2414.0,1.0,3.3, San Francisco,53.0
10,478782.0,Condo,1.0,0.0,1062.0,1.0,4.0, San Francisco,125.0
11,1995000.0,Multi-family,1.0,0.0,2010.0,0.0,0.0, San Francisco,18.0
12,1249500.0,Condo,1.0,0.0,1172.0,0.0,6.7, San Francisco,73.0
13,1599000.0,Multi-family,1.0,0.0,2010.0,0.0,1.0, San Francisco,11.0
14,1850000.0,Multi-family,1.0,0.0,1888.0,2.0,0.0, San Francisco,34.0
15,1150000.0,Condo,1.0,0.0,1035.0,1.0,3.3, San Francisco,106.0
16,1995000.0,House,1.0,0.0,2188.0,2.0,6.0, San Francisco,37.0
17,1495000.0,House,1.0,0.0,1050.0,1.0,0.7, San Francisco,37.0
18,1195000.0,Condo,1.0,0.0,1314.0,0.0,4.3, San Francisco,11.0
19,2645000.0,Condo,1.0,0.0,1798.0,0.0,7.0, San Francisco,36.0
20,1395000.0,Condo,1.0,0.0,1793.0,0.0,2.7, San Francisco,11.0
21,1099000.0,Condo,1.0,0.0,1350.0,0.0,4.3, San Francisco,17.0
22,1750000.0,Condo,1.0,0.0,1116.0,1.0,7.0, San Francisco,127.0
23,1399000.0,House,1.0,0.0,1450.0,2.0,8.0, San Francisco,36.0
24,1100000.0,House,1.0,0.0,1325.0,1.0,7.0, San Francisco,49.0
25,1095000.0,Condo,1.0,0.0,1124.0,1.0,4.7, San Francisco,113.0
